station_co,site_name,latitude,longitude,state,rivname,basin_name
RJSWW2806,Mora Sagar,26.66333333,76.53888889,RAJASTHAN,,
RajSW234,Morel,26.44666667,76.33194444,RAJASTHAN,,
RJTOW3108,Motisagar,25.91666667,75.66666667,RAJASTHAN,,
RajSW245,Moti sagar,25.92888889,75.67444444,RAJASTHAN,,
RJSRR3052,Mount Abu,24.60027778,72.71777778,RAJASTHAN,,
RJJPR1661,Mozmabad,26.6725,75.36027778,RAJASTHAN,,
RJNAR2459,Mundwa,27.05888889,73.82277778,RAJASTHAN,,
RJBHW0512,Nadbai,27.41666667,77.1,RAJASTHAN,,
RJBHR0558,Nadbai,27.41666667,77.1,RAJASTHAN,,
RJKAR2254,Nadoti,26.71666667,76.73333333,RAJASTHAN,,
RJBHW0513,Nagar,27.71055556,77.08472222,RAJASTHAN,,
RJBHR0559,Nagar,27.71055556,77.08472222,RAJASTHAN,,
RJTOR3154,Nagar Fort,26.46444444,75.20361111,RAJASTHAN,,
RJNAR2460,Nagaur,27.2,73.75,RAJASTHAN,,
RJBLW0610,Naharsagar,25.71666667,74.95,RAJASTHAN,,
RajSW240,Nahar Sagar,25.72694444,74.95527778,RAJASTHAN,,
RJUAW3212,Nai,24.55111111,73.63638889,RAJASTHAN,,
b2ampsegra,Egra,21.90002222,87.53720278,WEST BENGAL,Balighai Drain,
RJBUR0855,Nainwa,25.80027778,75.86555556,RAJASTHAN,,
RajSW248,Nala near Shakargarh NH 148 D,25.46558333,75.31951389,RAJASTHAN,,
RajSW190,Nandsamand,24.92027778,73.78194444,RAJASTHAN,,
RJRAW2703,Nand Samnad,24.92666667,73.78277778,RAJASTHAN,,
RJDAR1156,Nangal Rajawatan,26.74916667,76.33611111,RAJASTHAN,,
RJJPR1662,Naraina,26.79166667,75.20527778,RAJASTHAN,,
RJJPW1608,Naraina,26.79166667,75.20527778,RAJASTHAN,,
RJAJW0005,Narainsagar,25.93111111,74.55416667,RAJASTHAN,,
RajSW197,NarainSagar,25.93,74.55277778,RAJASTHAN,,
b2ampshij,Hijli,22.30276389,87.30300833,WEST BENGAL,Kaliaghai N,
b2ahhsbkr,Bakhrabad,22.12910278,87.37904722,WEST BENGAL,Kaliaghai N,
b2ampsarm,Arambag,22.88707778,87.77580833,WEST BENGAL,Dwarkeswar,
b2ampskas,Kashipur,23.43413611,86.66786389,WEST BENGAL,Dwarkeswar,
b2ahhsamg,Amgachia,22.10426111,87.63518611,WEST BENGAL,Kaliaghai N,
b2ahhsbnr,Bandar,22.66463889,87.78407778,WEST BENGAL,Rupnarayan River,
b2ahhsarm,Arambag,22.88719167,87.77587778,WEST BENGAL,Dwarkeswar,
b2ahhsden,Denan,22.42735556,87.88809722,WEST BENGAL,Rupnarayan River,
b2ampsken,Kenduahadihi,23.23026667,87.05033611,WEST BENGAL,Dwarkeswar,
b2ahhsbar,Barisha,22.24563611,87.70216944,WEST BENGAL,Kaliaghai N,
B2ahhsdht,Dehati,22.09055278,87.49503333,WEST BENGAL,Kaliaghai N,
b2ahhsgop,Gopiganj,22.54574444,87.85306389,WEST BENGAL,Rupnarayan River,
b2ampssab,Sabang,22.17355278,87.59913333,WEST BENGAL,Kapleswari N,
b2ahhskhd,Khanyadihi,22.47929167,87.79173056,WEST BENGAL,Rupnarayan River,
b2ampsitab,Itaberia,21.99841667,87.67043333,WEST BENGAL,Barju N,
b2ampsbis,Bishnupur,23.08,87.32,WEST BENGAL,Dwarkeswar,
b2ahhsklm,Kalmijore,22.56716389,87.707175,WEST BENGAL,Silabali N,
b2ahhsshk,Shakepore,22.78473889,87.77729722,WEST BENGAL,Rupnarayan River,
RJAJR0062,Nasirabad,26.29694444,74.73666667,RAJASTHAN,,
RJTOW3109,Nasirda,25.94472222,75.36805556,RAJASTHAN,,
BARKISURIYA_BAR,Barkisuriya,24.22083333,85.90277778,JHARKHAND,Barakar,
b2ampstal,Taldangra,22.99965278,87.09975278,WEST BENGAL,Jaipanda N,
b2ahhsgad,Gadghat,22.62871389,87.71741111,WEST BENGAL,Silabali N,
b2ahhsmuc,Muchighata,22.63556389,87.89964722,WEST BENGAL,Rupnarayan River,
b2ampsita,Itamogra,22.11328611,87.945075,WEST BENGAL,Rupnarayan River,
RJRAR2755,Nathdwara,24.91666667,73.83333333,RAJASTHAN,,
b2ampstat,Tatko,22.92908889,86.51274722,WEST BENGAL,Totko N,
b2ampssalb,Salboni,22.64211944,87.31848333,WEST BENGAL,Silabali N,
b2ampskend,Kenda,23.19551389,86.51585556,WEST BENGAL,Chaka N,
DAMODARBRIDGE_D,Damodar Bridge,24.11388889,86.22361111,JHARKHAND,Barakar,
b2ahhsbak,Banka,22.72758056,87.57708611,WEST BENGAL,Silabali N,
RJNAR2461,Nawa,27.01666667,75.01666667,RAJASTHAN,,
