label,lat,long,riverName,stationGuid,wiskiID
Huntington,53.981457,-1.067671,River Foss,7337c648-a4bf-4f8b-80c2-2b17efdba8cd,F2470
Beal,53.722944,-1.197656,River Aire,daa47a41-8f5a-4edb-9840-e0a13533cc64,F1806
Hungerford,51.414788,-1.539372,River Dun,78df8fd0-4075-4296-8187-b25f3c53de52,2239TH
Rickmansworth,51.641989,-0.46125,River Chess,b0a28c3c-b5dc-4a94-a661-2ef0639049c7,2859TH
Thornton Lock,53.890459,-0.844165,"['The Beck', 'Bielby Beck']",d42b68be-0da7-4519-ba9a-e24f789d9c10,F2830
Gaynes Park,51.553141,0.236647,"['Ingrebourne River', 'River Ingrebourne']",d0bdea3c-41c2-4ad7-8b19-28f968b4ce61,5550TH
Hamstall Ridware,52.770052,-1.839949,River Blithe,a360ba77-5ae2-465f-9808-26fc197adde6,4002
Trebrownbridge,50.410438,-4.394536,River Seaton,b6cc814c-4b13-4645-89ee-25e8e3d79dc0,SX25F064
Penberth,50.050073,-5.633119,"['Penberth River', 'Penberth Stream']",4ced4530-229b-4bca-8723-003040a6d40a,SW42F895
Somerford,50.739803,-1.741067,River Mude,84b5acac-c528-4115-9d61-382762a52e99,430160
Kildwick,53.9073,-1.984643,River Aire,351f05c7-7a89-46c0-9d8a-dc56c5f7b42d,F1503
Hitchin,51.94705,-0.276795,River Hiz,8c0977fe-d8fe-4d98-83ab-7916cbd2eb83,33065
Warham,52.934657,0.891642,River Stiffkey,b8e0fbe8-8d4f-4bd7-bd4e-068972edf6ea,34018
Compton Dando,51.380453,-2.507113,River Chew,9796dc02-6edf-4392-b727-0d861cbb1edd,531450
Ulpha,54.341859,-3.218047,River Duddon,34f4e53b-4616-4aaa-b8ad-170c22c808c4,740101
Ulpha  Duddo,54.341652,-3.218087,,34f4e53b-4616-4aaa-b8ad-170c22c808c4,589359
Allerford,51.211718,-3.569336,River Aller,00ea663a-3d89-4f10-a22d-17f07465cebc,510305_FW
Carden Park,53.080104,-2.814806,Carden Brook,d21c59dc-848c-4c13-97eb-edbb1e71b767,67045
Bodmin Dunmere,50.474183,-4.757174,River Camel,e574cb25-00e0-4d39-a8b4-da06d1f173ce,SX06F057
Hurstbourne Priors,51.214112,-1.370003,Bourne Rivulet,8ff9f61b-d835-498e-895c-0e54293930b2,151802002
South Bridge Ultra,52.230695,-0.897134,River Nene,cdbecc7a-6bfa-41c2-8c38-222c43367fe2,U32001
Church Warsop,53.206178,-1.165341,River Meden,60ce0c60-fc75-4465-8170-938241cd4424,4032
Whitwell,51.876889,-0.28128,River Mimram,3281b3cf-9010-4f38-8fec-8f8ba1343ea3,4730TH
Northorpe,53.685171,-1.661155,"['Spen River', 'Spen Beck']",280e15ee-d656-40f0-be7a-a144770a6744,F1385
Arlesey,52.026597,-0.266888,River Hiz,35d60d64-c511-444d-90bc-c5659d860583,33033
Cosford,52.639361,-2.326164,River Worfe,d52d0eab-1e64-4d76-a1f2-e81c7948d2c0,2046
Cosford,52.639315,-2.326238,,d52d0eab-1e64-4d76-a1f2-e81c7948d2c0,435510
Bradford On Avon,51.342781,-2.266665,"['River Avon', 'Bristol Avon']",585e49e0-7070-4d85-9c52-ccd18a5a1e65,530176
Gunnislake,50.531269,-4.221847,River Tamar,575d64ff-3205-4213-abe9-ed455d9bc49f,SX47F051
Trowbridge,51.319949,-2.210367,River Biss,f48b6a3b-96f0-40cf-9f97-22d0ba05652b,531050
Burwash,50.990967,0.390375,River Dudwell,fd43ce67-61f8-481b-8547-0d899aa63c0b,556521001
Burton Coggles,52.82349,-0.537135,West Glen River,c7e13884-4a02-4df3-b184-09aea28cf8e8,31011
Burton Coggles,52.814674,-0.533054,,c7e13884-4a02-4df3-b184-09aea28cf8e8,3_020
Castle Rising,52.798728,0.490559,Babingley River,3d92eb2a-bb11-4519-980b-4ca2700e980b,33054
Ashford Mill,50.964864,-2.911994,River Isle,404429da-b05c-4c95-98ee-4941b2133cb6,520110
Shipston,52.062415,-1.621546,River Stour,5e6d925f-3102-444c-a748-1dbec611e1dc,2092
Congleton Park,53.16629,-2.209408,River Dane,a49bd26a-9ea4-47ec-b7ab-3a5ceb369e70,681006
Eel House Bridge,54.338025,-2.970931,Cunsey Beck,e8f318af-7c16-40c2-a2a2-c723e1c21eee,735226
Croxley Green,51.645553,-0.436992,River Gade,624d4674-67a2-4537-874a-235e8958203a,2849TH
Windsor,51.485663,-0.589344,River Thames,6c72f76a-b76c-4a28-8701-71cdca25c0f5,2700TH
